@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
655,'2022/04/28 16:15:09:283',28,0,2,2,2,6,8,8.04,8.07,9,9
656,'2022/04/28 16:15:09:287',28,0.9,2,7,9,6,8,8.04,8.07,9,2
657,'2022/04/28 16:15:09:289',28,0.7,4,9,2,6,8,8.04,8.07,9,7
658,'2022/04/28 16:15:09:289',28,0.6,2,9,11,6,8,8.04,8.07,9,7
659,'2022/04/28 16:15:09:289',28,0.1,2,9,11,6,8,8.04,8.07,9,5
660,'2022/04/28 16:15:09:289',28,0.1,9,11,5,6,8,8.04,8.07,9,7
661,'2022/04/28 16:15:09:289',28,0.1,11,5,7,6,8,8.04,8.07,9,2
662,'2022/04/28 16:15:09:289',28,0.1,5,7,2,6,8,8.04,8.07,9,7
663,'2022/04/28 16:15:09:289',28,0.1,7,2,7,6,8,8.04,8.07,9,9
664,'2022/04/28 16:15:09:289',28,0.2,2,11,7,6,8,8.04,8.07,9,9
665,'2022/04/28 16:15:09:289',28,0.1,11,7,2,6,8,8.04,8.07,9,9
666,'2022/04/28 16:15:09:289',28,0.2,2,5,7,6,8,8.04,8.07,9,11
667,'2022/04/28 16:15:09:290',28,-0.3,2,7,9,6.579214,8.776013,8.636776,8.318409,9.602076,2
668,'2022/04/28 16:15:09:290',28,-0.4,4,9,2,6.866419,8.251351,8.61358,8.475086,9.484104,4
669,'2022/04/28 16:15:09:290',28,-0.5,2,9,11,6.059045,8.418858,8.049879,8.936179,9.157674,5
670,'2022/04/28 16:15:09:290',28,-0.6,2,9,11,6.811721,8.792155,8.562613,8.690743,9.128011,7
671,'2022/04/28 16:15:09:290',28,-0.6,9,11,5,6.418269,8.677022,8.440063,8.951856,9.842586,9
672,'2022/04/28 16:15:09:290',28,-0.6,11,5,7,6.340824,8.497617,8.544011,8.757667,9.414877,11
673,'2022/04/28 16:15:09:290',28,-0.6,5,7,2,6.764138,8.123632,8.159816,8.773311,9.675988,7
674,'2022/04/28 16:15:09:290',28,-0.6,7,2,7,6.921614,8.341325,8.823364,8.196607,9.849926,5
675,'2022/04/28 16:15:09:290',28,-0.2,2,11,7,6.120855,8.947258,8.37746,8.211179,9.209118,4
676,'2022/04/28 16:15:09:290',28,-0.1,11,7,2,6.741089,8.304979,8.021352,8.843031,9.340426,5
677,'2022/04/28 16:15:09:290',28,-0.2,2,5,7,6.221704,8.779701,8.42289,8.139764,9.41883,11
678,'2022/04/28 16:15:09:290',28,-0.3,2,7,9,6.112428,8.612214,8.997062,8.853176,9.533052,2
679,'2022/04/28 16:15:09:291',28,-0.4,4,9,2,6.073029,8.249546,8.358622,8.842181,9.166334,4
680,'2022/04/28 16:15:09:291',28,-0.5,2,9,11,6.669465,8.061188,8.158673,8.730029,9.067675,5
681,'2022/04/28 16:15:09:291',28,-0.6,2,9,11,6.554966,8.613857,8.161243,8.448004,9.536,5
682,'2022/04/28 16:15:09:291',28,-0.6,9,11,5,6.584395,8.814085,8.956831,8.494937,9.543454,7
683,'2022/04/28 16:15:09:291',28,-0.6,11,5,7,6.194715,8.31705,8.65764,8.053759,9.106616,11
684,'2022/04/28 16:15:09:291',28,-0.6,5,7,2,6.891891,8.492347,8.601522,8.966107,9.999671,7
685,'2022/04/28 16:15:09:291',28,-0.6,7,2,7,6.033672,8.502315,8.116504,8.48123,9.748014,4
686,'2022/04/28 16:15:09:291',28,-0.2,2,11,7,6.103171,8.775041,8.956465,8.649178,9.980279,4
687,'2022/04/28 16:15:09:292',28,-0.1,11,7,2,6.196599,8.286228,8.756779,8.262669,9.855699,2
688,'2022/04/28 16:15:09:292',28,-0.2,2,5,7,6.128799,8.441732,8.029027,8.232982,9.943782,5
689,'2022/04/28 16:15:09:292',28,-0.5,2,7,9,6.403675,8.846942,8.771237,8.554575,9.184899,2
690,'2022/04/28 16:15:09:292',28,-0.6,4,9,2,6.033525,8.997738,8.493898,8.156925,9.714778,4
691,'2022/04/28 16:15:09:292',28,-0.7,2,9,11,6.973867,8.134377,8.887327,8.024606,9.680988,5
692,'2022/04/28 16:15:09:292',28,-0.7,2,9,11,6.423303,8.281984,8.063785,8.344375,9.86187,5
693,'2022/04/28 16:15:09:292',28,-0.7,9,11,5,6.437199,8.174618,8.03476,8.116319,9.260453,7
694,'2022/04/28 16:15:09:292',28,-0.7,11,5,7,6.481796,8.182593,8.888395,8.15279,9.615304,9
695,'2022/04/28 16:15:09:292',28,-0.7,5,7,2,6.465251,8.447808,8.152672,8.507252,9.000683,11
696,'2022/04/28 16:15:09:292',28,-0.7,7,2,7,6.986466,8.401995,8.467483,8.110427,9.979873,4
697,'2022/04/28 16:15:09:292',28,-0.4,2,11,7,6.169799,8.586326,8.516047,8.481117,9.354341,4
698,'2022/04/28 16:15:09:292',28,-0.3,11,7,2,6.069359,8.495903,8.336156,8.495127,9.258888,4
699,'2022/04/28 16:15:09:293',28,-0.4,2,5,7,6.479678,8.007681,8.740591,8.362337,9.943719,2
700,'2022/04/28 16:15:09:293',28,-0.3,2,7,9,6.558086,8.538837,8.803548,8.442348,9.401513,2
701,'2022/04/28 16:15:09:293',28,-0.4,4,9,2,6.962456,8.040257,8.44133,8.952015,9.755891,4
702,'2022/04/28 16:15:09:293',28,-0.5,2,9,11,6.805932,8.294093,8.544091,8.341743,9.125341,5
703,'2022/04/28 16:15:09:294',28,-0.6,2,9,11,6.468695,8.955709,8.442513,8.973679,9.432141,7
704,'2022/04/28 16:15:09:294',28,-0.6,9,11,5,6.79847,8.241315,8.302168,8.675102,9.475765,9
705,'2022/04/28 16:15:09:294',28,-0.6,11,5,7,6.56088,8.55183,8.692867,8.705037,9.185678,11
706,'2022/04/28 16:15:09:294',28,-0.6,5,7,2,6.481781,8.713259,8.267228,8.249362,9.172042,7
707,'2022/04/28 16:15:09:294',28,-0.6,7,2,7,6.760069,8.841732,8.920141,8.99228,9.815752,5
708,'2022/04/28 16:15:09:294',28,-0.2,2,11,7,6.817976,8.375041,8.816741,8.768829,9.723987,4
709,'2022/04/28 16:15:09:294',28,-0.1,11,7,2,6.08298,8.126746,8.254182,8.37096,9.020264,5
710,'2022/04/28 16:15:09:294',28,-0.2,2,5,7,6.64033,8.225423,8.262748,8.082811,9.14945,11
711,'2022/04/28 16:15:09:294',28,-0.3,2,7,9,6.831846,8.55555,8.962337,8.42412,9.395355,2
712,'2022/04/28 16:15:09:295',28,-0.4,4,9,2,6.300417,8.624572,8.257407,8.01837,9.07008,4
713,'2022/04/28 16:15:09:295',28,-0.5,2,9,11,6.828568,8.144089,8.774442,8.73471,9.999711,5
714,'2022/04/28 16:15:09:295',28,-0.6,2,9,11,6.993052,8.592283,8.905038,8.197877,9.722703,5
715,'2022/04/28 16:15:09:295',28,-0.6,9,11,5,6.363876,8.598765,8.285804,8.490316,9.22931,7
716,'2022/04/28 16:15:09:295',28,-0.6,11,5,7,6.040452,8.955956,8.935925,8.940686,9.232682,11
717,'2022/04/28 16:15:09:295',28,-0.6,5,7,2,6.303856,8.3642,8.388473,8.821476,9.391916,7
718,'2022/04/28 16:15:09:295',28,-0.6,7,2,7,6.855753,8.454381,8.165146,8.216688,9.215533,4
719,'2022/04/28 16:15:09:295',28,-0.2,2,11,7,6.801427,8.936786,8.235987,8.851617,9.964997,4
720,'2022/04/28 16:15:09:295',28,-0.1,11,7,2,6.71314,8.655825,8.741842,8.743339,9.453416,2
721,'2022/04/28 16:15:09:295',28,-0.2,2,5,7,6.756654,8.531102,8.094474,8.70288,9.828853,5
722,'2022/04/28 16:15:09:295',28,-0.5,2,7,9,6.645885,8.842446,8.688164,8.600457,9.022916,2
723,'2022/04/28 16:15:09:295',28,-0.6,4,9,2,6.500431,8.56338,8.847101,8.172299,9.90735,4
724,'2022/04/28 16:15:09:296',28,-0.7,2,9,11,6.5575,8.124995,8.227397,8.866553,9.868775,5
725,'2022/04/28 16:15:09:296',28,-0.7,2,9,11,6.423009,8.115525,8.422902,8.943613,9.365915,5
726,'2022/04/28 16:15:09:296',28,-0.7,9,11,5,6.835253,8.579066,8.2857,8.553313,9.565849,7
727,'2022/04/28 16:15:09:296',28,-0.7,11,5,7,6.107071,8.943493,8.9068,8.787091,9.674449,9
728,'2022/04/28 16:15:09:296',28,-0.7,5,7,2,6.097864,8.595954,8.234018,8.693649,9.838676,11
729,'2022/04/28 16:15:09:296',28,-0.7,7,2,7,6.341835,8.745712,8.93738,8.377398,9.688095,4
730,'2022/04/28 16:15:09:296',28,-0.4,2,11,7,6.198114,8.651124,8.484436,8.008663,9.898622,4
731,'2022/04/28 16:15:09:296',28,-0.3,11,7,2,6.704494,8.729799,8.499187,8.796115,9.881283,4
732,'2022/04/28 16:15:09:297',28,-0.4,2,5,7,6.618886,8.025865,8.704464,8.630615,9.734839,2
